['g', -54483, 90698, -92043, -61136]
['f', 170809, -10776, 149550, -57367]
['g', 156853, 352, 169617, -13853]
['f', -17895, 151861, -35069, 4131]
['f', 26532, 169296, -79352, -19414]
['f', 77309, -93186, 25648, -36221]
['f', 152436, 142494, -64608, 130491]
['f', 5055, -11289, -63958, 137573]
['g', -99402, -37077, -15933, 173299]
['g', 112082, 20971, 175251, 109510]
['f', -88302, 9434, 86575, -94339]
['g', 60284, 155575, 18977, -18883]
['g', -2945, 139699, -37383, 182322]
['f', -92844, 82210, 8469, 94155]
['f', -41097, -51415, 18798, 157706]
['f', 93796, -40996, 165146, 194667]
['f', 27253, -97958, -27592, -36751]
['f', 118033, -14999, -1757, 87056]
['f', 118720, 89870, 167903, 59545]
