(356974965800, 422397467914, 368656239676)
(971068300297, 238913462940, 355996695483)
(134662388253, 383059493576, 570279389000)
(760049675932, 112182041111, 752648651795)
(958538721415, 937610418110, 679789912188)
(728046802140, 952029923835, 163908033862)
(161293148503, 667685327907, 857704299579)
(722653390902, 616313754322, 203879807736)
(816972257397, 963192728945, 415671183152)
(617144540092, 286033659669, 940951612935)
(151922740897, 472425017143, 271926993248)
(623115098338, 986609729913, 871202878788)
(226826664512, 656172695756, 305657257860)
(273909978960, 787357722014, 832686843570)
(299447442784, 321373556178, 959357279234)
(916069155574, 768757548060, 140787048679)
(612133742513, 123609126519, 991737940269)
(140136454073, 280189933795, 530960107553)
(742225040555, 325258240866, 701104618220)
(244569085692, 228447327260, 916630904409)
